ID,Raca,Breed Size,Sexo,Idade,Spay/Neuter Status,Nivel_Atividade_Pet,Dieta_Atual,Marca_Racao,Other Pets in Household,Medicamentos,Convulsoes,Horas_Sono,Tempo_Brincadeira_Horas,Nivel_Atividade_Dono,Visitas_Anuais_Veterinario,Average Temperature (F),Synthetic,Status_Saude,peso_kg,caminhada_diaria_km,porte_animal,calorias_diarias_RER
20,9,0,0,11.0,2,0,2,5,1,0,0,10.0,1.0,0,0.0,63.0,0,0,19.96,6.44,1,661.03
21,11,2,0,7.0,0,3,3,8,1,0,0,11.0,0.0,0,2.0,70.0,0,1,20.87,4.83,1,683.5
22,4,2,1,3.0,2,0,1,2,0,1,0,12.0,1.0,3,1.0,82.0,0,1,11.79,4.83,1,445.38
23,7,0,0,11.0,1,3,3,5,1,0,0,12.0,1.0,2,1.0,100.0,0,1,17.24,1.61,1,592.24
24,3,1,1,9.0,0,0,1,8,0,0,0,12.0,1.0,3,1.0,74.0,0,1,29.48,4.83,0,885.61
25,9,0,1,6.0,2,1,1,0,1,1,0,8.0,2.0,2,1.0,74.0,0,1,29.48,1.61,0,885.61
26,4,2,1,10.0,0,2,3,8,0,1,0,8.0,3.0,2,1.0,72.0,0,0,6.8,4.83,2,294.77
27,1,2,1,11.0,0,0,1,3,1,1,0,11.0,1.0,0,0.0,75.0,0,1,23.59,6.44,1,749.28
28,11,2,0,13.0,0,2,3,4,0,0,0,13.0,2.0,1,2.0,66.0,0,1,14.51,6.44,1,520.41
29,14,1,0,13.0,2,3,2,1,0,0,0,10.0,1.0,3,2.0,54.0,0,1,11.79,8.05,1,445.38
30,12,0,1,2.0,0,0,0,7,1,1,0,14.0,1.0,2,1.0,43.0,0,1,29.94,1.61,0,895.96
31,11,2,1,13.0,0,2,2,2,0,0,0,10.0,2.0,0,2.0,61.0,0,1,22.68,0.0,1,727.5
32,7,0,0,5.0,0,0,1,3,0,0,0,10.0,2.0,2,0.0,61.0,0,1,28.58,6.44,0,865.26
33,12,0,0,13.0,2,0,1,3,0,1,0,11.0,1.0,3,3.0,33.0,0,0,19.5,6.44,1,649.57
34,0,1,1,10.0,1,3,2,8,0,0,0,10.0,3.0,3,4.0,52.0,0,1,31.3,1.61,0,926.31
35,0,1,1,8.0,2,1,1,8,0,0,0,12.0,2.0,1,2.0,82.0,0,1,25.4,4.83,0,792.0
36,3,1,1,2.0,0,0,3,8,0,1,0,9.0,1.0,0,2.0,70.0,0,1,26.31,3.22,0,813.18
37,14,1,0,4.0,2,0,2,5,1,0,1,11.0,0.0,0,1.0,40.0,0,0,31.3,3.22,0,926.31
38,12,0,0,13.0,0,3,0,7,1,1,0,13.0,1.0,0,2.0,99.0,0,1,12.25,0.0,1,458.35
39,8,0,0,9.0,1,2,3,5,1,1,0,9.0,2.0,0,2.0,48.0,0,0,29.48,4.83,0,885.61
40,5,2,1,10.0,0,1,3,8,1,0,0,12.0,2.0,3,2.0,93.0,0,1,23.13,4.83,1,738.29
41,0,3,0,12.0,0,0,0,7,0,0,1,10.0,2.0,1,1.0,68.0,0,1,26.76,9.66,0,823.59
42,11,2,0,9.0,0,1,1,4,0,0,0,13.0,2.0,2,0.0,55.0,0,1,14.06,6.44,1,508.26
43,3,1,1,12.0,1,2,3,8,1,1,0,12.0,3.0,3,0.0,,0,0,14.97,4.83,1,532.74
44,9,0,1,2.0,2,0,2,8,0,0,0,11.0,0.0,2,1.0,67.0,0,1,31.3,1.61,0,926.31
45,15,2,0,2.0,0,1,2,8,0,0,0,9.0,1.0,3,0.0,74.0,0,1,20.41,4.83,1,672.17
46,8,0,1,4.0,2,0,3,6,0,0,0,12.0,2.0,2,2.0,69.0,0,1,29.03,8.05,0,875.45
47,4,2,0,13.0,2,1,3,0,1,0,0,13.0,1.0,3,0.0,54.0,0,0,4.54,0.0,2,217.72
48,9,0,0,12.0,1,2,2,0,1,0,0,10.0,1.0,3,0.0,56.0,0,0,18.6,4.83,1,626.95
49,12,0,1,7.0,1,0,3,4,0,0,0,12.0,0.0,3,0.0,49.0,0,0,21.77,6.44,1,705.49
50,11,2,0,9.0,2,0,1,3,0,0,0,10.0,2.0,3,0.0,47.0,0,1,27.67,1.61,0,844.51
51,14,1,0,8.0,0,0,3,1,0,0,0,13.0,2.0,1,1.0,80.0,0,1,22.23,4.83,1,716.64
52,12,0,0,11.0,1,2,2,2,1,1,0,10.0,1.0,0,0.0,40.0,0,0,26.76,1.61,0,823.59
53,7,0,0,5.0,2,2,3,1,0,1,0,10.0,3.0,0,3.0,75.0,0,0,20.87,4.83,1,683.5
54,11,2,0,7.0,2,0,1,8,1,1,0,12.0,1.0,3,1.0,73.0,0,1,15.42,1.61,1,544.7
55,2,1,0,12.0,1,0,3,3,0,1,1,12.0,3.0,0,1.0,74.0,0,0,20.41,6.44,1,672.17
56,7,0,0,4.0,0,1,0,7,0,1,0,10.0,1.0,3,3.0,67.0,0,1,11.79,9.66,1,445.38
57,10,0,0,8.0,1,0,3,2,0,1,0,11.0,2.0,3,1.0,43.0,0,1,27.22,4.83,0,834.19
58,7,0,0,2.0,1,2,2,2,0,0,0,11.0,1.0,3,4.0,45.0,0,1,34.93,3.22,0,1005.77
59,10,0,0,6.0,1,1,2,8,0,0,0,10.0,1.0,2,2.0,64.0,0,1,28.12,3.22,0,854.79
60,11,2,1,7.0,0,0,3,1,1,0,0,10.0,2.0,3,3.0,50.0,0,1,29.94,3.22,0,895.96
61,6,0,1,8.0,0,1,1,5,1,0,0,12.0,2.0,2,3.0,64.0,0,1,19.05,4.83,1,638.29
62,3,1,1,12.0,0,2,3,2,1,0,1,9.0,1.0,3,1.0,68.0,0,0,28.12,0.0,0,854.79
63,8,0,1,1.0,1,0,3,0,0,1,0,12.0,0.0,3,0.0,44.0,0,0,34.02,3.22,0,986.05
64,10,0,0,4.0,0,3,2,5,0,0,0,13.0,0.0,0,2.0,57.0,1,1,18.14,4.83,1,615.28
65,0,3,1,8.0,2,0,2,0,1,0,0,10.0,3.0,3,0.0,54.0,0,0,28.58,4.83,0,865.26
66,1,2,0,13.0,2,0,3,5,0,0,0,12.0,1.0,0,0.0,69.0,0,0,18.6,6.44,1,626.95
67,15,2,1,11.0,1,1,3,2,0,0,0,12.0,1.0,3,0.0,55.0,0,1,28.58,4.83,0,865.26
68,2,1,1,5.0,0,0,2,6,1,0,0,12.0,3.0,0,3.0,35.0,0,1,17.24,3.22,1,592.24
69,10,0,1,10.0,2,1,0,7,0,1,1,10.0,2.0,1,3.0,50.0,0,0,23.59,3.22,1,749.28
70,8,0,0,5.0,1,2,0,7,1,0,0,10.0,2.0,1,1.0,,0,1,32.21,3.22,0,946.44
71,1,2,1,9.0,0,2,2,5,1,1,0,11.0,0.0,0,4.0,59.0,0,0,13.61,3.22,1,496.01
72,8,0,1,1.0,2,0,2,6,1,1,0,14.0,1.0,0,1.0,64.0,0,0,15.88,9.66,1,556.85
73,2,1,1,10.0,2,3,1,6,1,1,0,11.0,3.0,0,2.0,78.0,0,1,18.6,8.05,1,626.95
74,6,0,0,9.0,2,2,1,0,0,1,0,9.0,2.0,0,1.0,75.0,0,0,23.13,3.22,1,738.29
75,5,2,0,13.0,0,1,3,8,1,1,0,12.0,2.0,3,0.0,68.0,0,0,28.12,6.44,0,854.79
76,5,2,0,10.0,1,2,0,7,1,1,0,12.0,2.0,3,4.0,53.0,0,1,24.95,1.61,1,781.45
77,8,0,0,9.0,0,0,0,7,2,0,0,11.0,1.0,3,1.0,79.0,0,1,22.68,3.22,1,727.5
78,0,1,0,13.0,1,1,0,7,0,1,0,13.0,1.0,3,0.0,78.0,0,0,38.1,3.22,0,1073.47
79,15,3,0,13.0,0,0,1,8,1,1,0,12.0,1.0,2,3.0,,0,0,6.35,3.22,2,280.01
80,1,2,0,6.0,1,2,3,7,0,0,0,12.0,2.0,3,0.0,86.0,0,1,25.4,4.83,0,792.0
81,15,2,1,2.0,1,0,2,3,0,1,0,10.0,3.0,3,3.0,66.0,0,1,13.15,1.61,1,483.38
82,3,1,1,11.0,1,2,0,7,2,0,1,9.0,3.0,1,3.0,66.0,0,1,15.42,3.22,1,544.7
83,2,1,1,9.0,2,3,0,7,0,1,0,12.0,1.0,2,1.0,53.0,0,1,25.85,4.83,0,802.5
84,12,0,1,11.0,0,3,1,2,1,0,0,14.0,1.0,2,1.0,75.0,0,1,32.21,8.05,0,946.44
85,15,2,1,12.0,0,3,0,7,1,0,0,10.0,2.0,1,0.0,84.0,0,1,33.11,3.22,0,966.2
86,9,3,0,7.0,1,1,1,3,1,1,1,10.0,3.0,3,1.0,42.0,0,0,25.85,4.83,0,802.5
87,5,3,1,7.0,1,3,0,7,1,1,0,11.0,0.0,3,1.0,53.0,0,1,41.28,3.22,0,1139.99
88,11,2,1,1.0,2,0,3,0,1,0,0,11.0,2.0,2,2.0,78.0,0,1,13.61,4.83,1,496.01
89,5,2,1,9.0,0,0,0,7,1,1,0,9.0,1.0,1,1.0,98.0,0,0,9.98,4.83,2,393.05
90,4,2,1,2.0,2,3,0,7,1,0,0,13.0,1.0,1,1.0,38.0,0,1,22.23,1.61,1,716.64
91,0,1,0,12.0,2,3,1,6,0,1,0,10.0,2.0,0,1.0,92.0,0,1,19.5,3.22,1,649.57
92,11,2,1,1.0,1,1,3,1,1,0,0,12.0,0.0,0,0.0,66.0,0,0,21.77,8.05,1,705.49
93,14,1,0,4.0,0,1,0,7,1,1,0,10.0,3.0,1,2.0,87.0,0,1,24.49,3.22,1,770.62
94,8,0,1,2.0,2,1,3,4,1,1,0,14.0,0.0,2,1.0,58.0,0,1,19.5,3.22,1,649.57
95,0,1,1,3.0,0,0,3,5,1,0,0,8.0,3.0,0,2.0,76.0,0,1,34.47,4.83,0,995.82
96,0,1,0,7.0,0,2,1,8,1,0,0,14.0,0.0,0,3.0,58.0,0,1,24.04,8.05,1,759.97
97,12,0,0,3.0,0,0,3,6,0,0,0,10.0,1.0,3,0.0,77.0,0,1,14.51,6.44,1,520.41
98,7,0,0,10.0,0,3,3,1,0,0,0,11.0,2.0,2,2.0,79.0,0,1,16.78,4.83,1,580.35
99,0,1,0,4.0,0,0,1,2,1,0,0,9.0,0.0,3,1.0,36.0,1,1,25.4,4.83,0,792.0
100,4,2,0,9.0,0,1,1,5,1,1,0,13.0,3.0,1,1.0,31.0,0,1,34.47,0.0,0,995.82
101,14,1,1,3.0,1,0,1,0,1,1,0,10.0,2.0,1,1.0,65.0,0,1,14.97,3.22,1,532.74
102,11,2,1,5.0,1,1,3,5,0,1,0,10.0,1.0,3,1.0,37.0,0,1,14.97,6.44,1,532.74
103,2,1,1,5.0,2,2,0,7,0,1,0,12.0,2.0,3,2.0,50.0,0,1,17.24,6.44,1,592.24
104,15,2,1,12.0,2,1,1,5,1,0,0,11.0,4.0,0,1.0,78.0,0,1,18.14,3.22,1,615.28
105,6,0,1,10.0,2,3,1,7,1,1,0,11.0,3.0,3,1.0,39.0,0,1,24.49,4.83,1,770.62
106,8,0,0,2.0,0,1,1,0,0,1,1,9.0,0.0,3,0.0,50.0,0,0,29.48,1.61,0,885.61
107,13,1,1,7.0,2,0,1,2,0,0,0,11.0,2.0,1,0.0,53.0,0,1,22.68,8.05,1,727.5
108,10,0,1,2.0,0,0,0,7,0,1,0,10.0,1.0,1,1.0,70.0,0,1,25.85,0.0,0,802.5
109,3,1,0,8.0,0,2,2,4,1,0,0,9.0,1.0,3,2.0,77.0,0,1,17.24,3.22,1,592.24
110,14,1,1,7.0,1,3,1,5,0,1,0,12.0,1.0,3,2.0,60.0,0,1,17.69,4.83,1,603.8
111,4,2,0,8.0,0,2,3,6,2,0,0,12.0,2.0,3,0.0,94.0,0,1,20.41,3.22,1,672.17
112,14,1,1,1.0,0,0,3,8,0,0,0,12.0,2.0,2,1.0,69.0,0,1,27.67,1.61,0,844.51
113,0,1,1,5.0,0,0,1,5,0,1,0,12.0,0.0,0,4.0,82.0,0,1,19.5,8.05,1,649.57
114,15,2,0,8.0,2,2,1,6,1,1,0,11.0,3.0,3,1.0,55.0,0,0,41.73,3.22,0,1149.3
115,6,0,0,9.0,1,0,2,7,1,0,0,13.0,0.0,3,1.0,58.0,0,1,22.68,3.22,1,727.5
116,3,1,0,9.0,1,3,0,7,0,1,0,13.0,1.0,0,2.0,100.0,0,1,11.34,4.83,1,432.57
117,9,0,0,11.0,1,0,0,7,0,0,0,12.0,1.0,3,2.0,75.0,0,1,27.22,1.61,0,834.19
118,11,2,1,8.0,0,0,0,7,0,1,0,13.0,2.0,3,0.0,72.0,0,1,29.94,1.61,0,895.96
119,6,0,1,12.0,0,1,0,7,0,1,0,13.0,2.0,3,0.0,51.0,0,0,15.42,4.83,1,544.7
120,7,0,1,7.0,2,1,2,6,1,0,0,9.0,1.0,3,0.0,76.0,0,0,25.4,4.83,0,792.0
121,1,2,1,6.0,1,1,0,7,1,0,1,9.0,2.0,1,1.0,100.0,1,1,28.58,3.22,0,865.26
122,6,3,1,7.0,0,1,0,7,0,0,0,10.0,2.0,2,4.0,72.0,0,1,17.69,3.22,1,603.8
123,10,0,0,13.0,0,0,0,7,1,1,0,10.0,2.0,1,1.0,88.0,0,1,4.54,3.22,2,217.72
124,15,2,0,1.0,2,3,1,1,0,1,0,11.0,0.0,1,1.0,66.0,0,1,18.6,4.83,1,626.95
125,1,2,1,7.0,0,2,3,0,0,0,0,14.0,1.0,3,0.0,75.0,0,1,13.15,3.22,1,483.38
126,15,2,0,10.0,1,0,1,6,1,1,0,13.0,3.0,1,3.0,66.0,0,1,23.13,6.44,1,738.29
127,8,0,1,9.0,1,2,1,3,0,1,1,10.0,1.0,1,0.0,44.0,0,0,27.22,4.83,0,834.19
128,14,1,1,8.0,2,0,0,7,0,1,0,11.0,1.0,3,2.0,54.0,0,1,26.31,3.22,0,813.18
129,2,1,1,4.0,0,2,2,8,0,1,0,12.0,3.0,3,2.0,53.0,0,1,28.58,6.44,0,865.26
130,5,2,0,6.0,2,3,3,4,0,1,0,11.0,0.0,0,1.0,77.0,0,1,16.78,6.44,1,580.35
131,10,0,1,10.0,2,0,2,4,0,1,0,9.0,1.0,3,4.0,75.0,0,0,35.83,4.83,0,1025.14
132,14,1,1,4.0,0,1,2,1,0,1,0,12.0,0.0,3,1.0,56.0,0,1,16.33,4.83,1,568.64
133,10,0,1,4.0,1,0,2,5,0,1,0,9.0,2.0,2,1.0,67.0,0,1,9.07,4.83,2,365.85
134,8,0,1,7.0,2,0,1,4,0,1,0,8.0,2.0,1,0.0,75.0,0,0,11.79,4.83,1,445.38
135,15,2,0,9.0,0,2,1,5,1,0,0,11.0,2.0,0,3.0,59.0,0,1,22.68,3.22,1,727.5
136,13,0,0,6.0,0,2,1,3,1,0,0,9.0,1.0,3,0.0,55.0,0,1,22.68,1.61,1,727.5
137,14,1,1,4.0,2,2,0,7,1,0,0,10.0,2.0,3,0.0,42.0,0,1,12.25,1.61,1,458.35
138,4,2,1,4.0,1,0,3,5,0,0,0,12.0,1.0,2,0.0,67.0,0,1,24.95,0.0,1,781.45
139,11,2,0,3.0,0,3,3,3,1,0,0,12.0,1.0,2,1.0,60.0,0,1,23.13,3.22,1,738.29
140,10,0,1,4.0,1,0,2,5,0,0,0,13.0,1.0,3,1.0,63.0,0,1,19.5,3.22,1,649.57
141,7,0,0,10.0,2,0,1,4,0,0,0,9.0,3.0,1,0.0,58.0,0,1,22.68,6.44,1,727.5
142,1,2,1,4.0,0,0,2,0,0,0,0,11.0,2.0,2,1.0,68.0,0,1,28.12,4.83,0,854.79
143,15,2,1,7.0,1,0,3,4,0,1,0,12.0,1.0,3,1.0,46.0,0,0,28.12,1.61,0,854.79
144,4,2,1,11.0,2,0,1,1,0,0,0,10.0,2.0,0,0.0,74.0,0,1,16.78,4.83,1,580.35
145,8,0,0,10.0,2,1,0,7,1,1,0,10.0,1.0,2,0.0,51.0,0,0,25.85,9.66,0,802.5
146,14,1,1,8.0,0,2,1,1,0,1,0,12.0,2.0,0,0.0,76.0,0,1,18.6,3.22,1,626.95
147,5,2,1,2.0,2,0,3,5,1,0,0,13.0,0.0,3,1.0,57.0,0,1,14.97,0.0,1,532.74
148,10,0,0,4.0,1,0,1,1,1,1,0,10.0,0.0,1,1.0,48.0,0,1,32.21,9.66,0,946.44
149,6,0,0,3.0,0,1,3,1,1,0,0,14.0,0.0,2,2.0,85.0,0,1,21.32,4.83,1,694.53
150,15,2,1,3.0,0,0,0,7,1,1,0,10.0,0.0,3,3.0,51.0,0,1,19.96,1.61,1,661.03
151,12,0,1,10.0,0,0,3,6,1,1,0,10.0,0.0,0,2.0,91.0,0,1,27.67,0.0,0,844.51
152,4,2,1,11.0,1,0,2,8,0,1,0,10.0,1.0,0,0.0,53.0,0,0,15.42,1.61,1,544.7
153,9,0,1,3.0,0,1,3,0,0,0,0,9.0,2.0,1,2.0,68.0,0,1,35.38,8.05,0,1015.47
154,13,0,0,9.0,2,0,3,6,0,1,0,10.0,3.0,3,1.0,84.0,0,0,21.77,6.44,1,705.49
155,15,2,0,4.0,0,0,3,7,0,0,1,8.0,0.0,1,2.0,53.0,0,1,20.41,11.27,1,672.17
156,6,0,1,9.0,2,0,0,7,1,0,0,11.0,2.0,3,3.0,87.0,0,1,5.44,1.61,2,249.34
157,14,1,1,4.0,0,3,2,2,0,0,0,13.0,2.0,1,2.0,66.0,0,1,28.12,4.83,0,854.79
158,4,2,1,12.0,0,2,1,3,1,1,0,12.0,2.0,0,0.0,78.0,0,0,33.57,8.05,0,976.25
159,10,0,0,7.0,1,0,2,6,0,0,0,10.0,1.0,3,4.0,49.0,0,1,18.14,1.61,1,615.28
160,1,2,1,11.0,1,1,1,4,1,0,0,11.0,3.0,1,3.0,83.0,0,1,28.12,1.61,0,854.79
161,0,1,0,7.0,2,1,3,3,1,1,0,14.0,2.0,3,1.0,43.0,0,0,8.62,8.05,2,352.15
162,15,2,1,8.0,1,0,1,2,1,1,0,11.0,2.0,1,3.0,64.0,0,1,22.68,3.22,1,727.5
163,14,1,0,7.0,0,0,1,8,1,0,0,12.0,1.0,0,3.0,60.0,0,1,38.1,0.0,0,1073.47
164,8,0,0,10.0,1,1,1,1,0,0,0,12.0,1.0,3,1.0,45.0,0,1,26.76,1.61,0,823.59
165,5,2,0,4.0,1,3,1,3,1,1,0,13.0,3.0,1,2.0,55.0,0,1,10.43,4.83,1,406.27
166,14,1,1,2.0,2,0,2,2,1,0,0,10.0,3.0,3,0.0,69.0,0,1,29.94,3.22,0,895.96
167,3,1,0,9.0,0,2,3,1,1,0,0,14.0,0.0,1,0.0,58.0,0,0,29.48,8.05,0,885.61
168,11,2,1,5.0,1,3,3,6,0,0,0,12.0,2.0,3,2.0,64.0,1,1,14.97,3.22,1,532.74
169,10,0,0,13.0,1,2,0,7,0,0,0,12.0,2.0,1,0.0,79.0,0,1,26.31,3.22,0,813.18
170,7,0,0,12.0,2,1,3,7,1,0,0,10.0,0.0,3,2.0,48.0,1,1,21.32,4.83,1,694.53
171,10,3,0,2.0,2,2,1,8,0,0,0,10.0,3.0,0,3.0,72.0,0,1,22.68,3.22,1,727.5
172,2,1,1,7.0,2,0,0,7,0,0,0,9.0,3.0,0,2.0,84.0,0,1,28.58,0.0,0,865.26
173,6,0,1,2.0,1,0,2,0,0,1,0,10.0,1.0,1,0.0,70.0,0,1,23.13,3.22,1,738.29
174,1,2,0,12.0,1,0,2,7,1,1,0,12.0,0.0,2,0.0,63.0,0,0,21.32,3.22,1,694.53
175,2,1,0,6.0,1,0,2,4,1,0,1,11.0,1.0,3,4.0,66.0,0,1,30.39,3.22,0,906.04
176,10,0,1,7.0,1,3,1,0,0,0,0,11.0,1.0,2,2.0,74.0,0,1,27.67,1.61,0,844.51
177,6,0,0,2.0,0,0,3,1,0,1,0,11.0,3.0,3,3.0,45.0,0,1,24.95,3.22,1,781.45
178,3,1,0,1.0,2,0,0,7,1,1,1,13.0,2.0,3,1.0,56.0,0,0,17.24,1.61,1,592.24
179,0,1,1,1.0,1,3,3,2,0,1,0,11.0,1.0,1,2.0,49.0,0,1,19.5,4.83,1,649.57
180,7,0,0,6.0,1,1,1,4,1,0,0,11.0,2.0,3,2.0,74.0,0,1,31.3,6.44,0,926.31
181,4,2,0,2.0,1,0,0,7,0,1,0,13.0,0.0,2,2.0,57.0,0,1,21.32,4.83,1,694.53
182,0,1,1,7.0,1,0,0,7,1,1,0,12.0,4.0,2,1.0,68.0,0,1,4.54,1.61,2,217.72
183,3,1,1,7.0,0,0,3,2,0,1,0,10.0,1.0,0,4.0,78.0,0,1,36.29,3.22,0,1035.0
184,12,0,0,4.0,1,0,2,1,1,0,1,10.0,2.0,3,0.0,49.0,0,0,26.31,0.0,0,813.18
185,6,0,0,1.0,2,3,2,5,1,1,0,12.0,3.0,0,1.0,33.0,0,0,23.59,0.0,1,749.28
186,14,1,0,7.0,0,3,3,8,1,0,0,11.0,0.0,2,0.0,61.0,0,1,27.67,4.83,0,844.51
187,0,1,1,2.0,2,2,0,7,1,1,0,12.0,1.0,3,1.0,75.0,0,1,19.96,6.44,1,661.03
188,12,0,0,5.0,2,3,2,1,1,0,0,13.0,3.0,1,2.0,69.0,0,1,28.12,4.83,0,854.79
189,6,0,1,11.0,2,3,0,7,0,0,0,11.0,2.0,0,4.0,70.0,0,1,33.11,4.83,0,966.2
190,5,2,1,4.0,2,1,1,0,1,1,1,11.0,3.0,3,1.0,58.0,0,0,23.13,6.44,1,738.29
191,14,1,0,6.0,1,1,1,8,0,0,0,12.0,2.0,3,2.0,80.0,0,1,11.34,6.44,1,432.57
192,13,1,1,4.0,0,1,3,4,0,0,0,11.0,2.0,3,2.0,84.0,0,1,24.95,0.0,1,781.45
193,12,0,0,3.0,1,0,2,6,1,1,0,11.0,1.0,3,1.0,75.0,1,1,29.03,4.83,0,875.45
194,4,2,0,9.0,1,0,0,7,0,1,0,11.0,2.0,3,0.0,87.0,0,0,24.95,3.22,1,781.45
195,1,2,1,8.0,0,0,3,0,0,1,0,11.0,0.0,3,2.0,75.0,0,1,26.31,4.83,0,813.18
196,14,1,1,13.0,1,3,0,7,1,0,0,14.0,2.0,3,4.0,73.0,0,1,17.24,1.61,1,592.24
197,4,2,1,8.0,1,1,0,7,1,1,0,9.0,3.0,3,2.0,45.0,0,1,23.59,4.83,1,749.28
198,6,0,0,8.0,1,1,3,6,0,0,0,10.0,2.0,3,2.0,55.0,0,1,36.29,1.61,0,1035.0
199,2,1,1,10.0,2,1,2,8,1,0,0,11.0,2.0,0,0.0,63.0,0,0,26.76,6.44,0,823.59
200,0,1,0,11.0,2,3,0,7,0,0,0,10.0,3.0,1,2.0,45.0,0,1,27.67,3.22,0,844.51
201,9,0,0,4.0,2,1,0,7,1,0,0,11.0,2.0,2,2.0,83.0,0,1,14.97,0.0,1,532.74
202,3,1,0,12.0,0,2,1,1,0,0,0,12.0,2.0,3,3.0,75.0,0,1,20.41,3.22,1,672.17
203,12,0,1,7.0,0,0,1,2,1,1,0,12.0,2.0,1,1.0,71.0,0,1,23.59,1.61,1,749.28
204,14,1,0,5.0,1,0,2,1,1,1,0,11.0,2.0,1,2.0,83.0,0,1,19.05,1.61,1,638.29
205,8,0,1,11.0,2,2,2,2,1,0,0,10.0,2.0,3,1.0,47.0,0,0,24.49,4.83,1,770.62
206,2,1,0,7.0,1,2,3,0,1,0,0,10.0,2.0,0,1.0,46.0,0,1,22.68,3.22,1,727.5
207,7,0,0,5.0,2,0,3,1,0,0,0,10.0,1.0,2,3.0,,0,1,20.41,4.83,1,672.17
208,1,2,1,3.0,2,2,0,7,0,0,0,9.0,1.0,0,3.0,64.0,0,1,21.32,1.61,1,694.53
209,4,2,0,8.0,2,2,3,2,0,1,0,11.0,2.0,0,0.0,76.0,0,0,15.88,3.22,1,556.85
210,9,0,1,9.0,0,2,1,1,1,0,0,13.0,2.0,3,2.0,,0,1,22.68,8.05,1,727.5
211,7,0,1,8.0,0,3,3,6,0,1,0,9.0,3.0,0,1.0,91.0,0,1,29.94,6.44,0,895.96
212,6,0,1,9.0,2,2,1,4,0,0,0,11.0,1.0,2,0.0,77.0,0,0,23.59,3.22,1,749.28
213,2,1,0,1.0,1,2,1,1,2,0,0,10.0,3.0,3,0.0,,0,1,29.48,3.22,0,885.61
214,10,0,0,13.0,2,0,3,2,1,1,0,11.0,2.0,3,0.0,80.0,0,0,16.78,6.44,1,580.35
215,0,1,1,13.0,2,1,1,0,1,0,1,11.0,1.0,3,4.0,,0,0,19.05,1.61,1,638.29
216,11,2,0,6.0,1,2,1,8,2,0,0,11.0,2.0,3,1.0,71.0,0,1,27.22,4.83,0,834.19
217,3,1,0,13.0,1,1,3,6,1,1,0,12.0,3.0,0,1.0,75.0,0,0,27.67,8.05,0,844.51
218,13,0,1,8.0,1,2,3,3,0,1,0,11.0,1.0,1,1.0,50.0,0,1,22.23,8.05,1,716.64
219,0,1,1,3.0,2,1,1,0,0,1,0,11.0,3.0,1,1.0,60.0,0,0,27.67,4.83,0,844.51
